"         Stat
Type ","Player Status Initial
Value ","Stat
Value Min ","Max ","Decay
Rate ","Base
Decay
Cooldown ","Initial
Cooldown ","Cooldown
Type ","Decay
To
Current
Status ","Mutually
Exclusive
Statuses ","Remote
Client
Predicted ","Use
Ideal
Stat
Value ","Linked Stat Linked
Stat ","Crossed
Below
Threshold ","Pass
Excess
Below Threshold","Multiplier","Pass
Crossing
Above
Threshold ","Pass
Custom
Value ","Pass
Increase
To
Value ","Actor
Status
Type ","Default
Status
Trigger
Threshold Min","Max","Probabilistic
Status Trigger Min
Threshold ","Probability
Interp Threshold Min ","Max","Guaranteed
Threshold ","Max Status
Range
Threshold ","Probability Min ","Max ","Cooldown ","Check
Type ","Status
Effect
Type ","Trigger
Threshold Min ","Max ","Effect Min ","Max ","Value At
Min ","At
Max ","Value ","Damage Ignores
Multiplier ","Over
Time Damage At Min","Max","To Death Over Time Damage
Curve
Multiplier ","Damaged
Parts ","Non
Linear Base ","Min ","Falloff ","","","","","","",""
"","Flinches","","","0.0001","25","0","0","0","","","","","","","","","","","","","","","","","","","0.5","","65","125","0.5","1","0.85","","0.6","","80","","","","","","","","","","","","","","","",""
"","Indirect Staggers","","","25","60","1","0.7","0.7","0.5","2","","","0","","3","","3","","0","3","","","3","","","","0.5","","65","125","14","24","0.325","","18","","80","","","","","","","","","","","","","","","",""
"","Indirect Knockdowns","","","60","100","0","0","0","","","0.5","3","0","","4","","4","","0","4","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Stamina Cost Params","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ability
Stamina
States","","","","","","","","","","","Climb","","","","","","","Dodge","","","","","","","","","","","","Slope
Cost
Scale","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Crouch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","To Start","","","0.25","0.1","0.01","0.01","0.01","0.1","0.01","0","0.1","0.25","0.05","0.1","0.05","0.1","0.15","0.05","0.05","0.1","0.1","0.1","0.1","0.1","0.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","To Interrupt","","","0.15","0.1","0.01","0.01","0.01","0.05","0","0","0","0.15","0","0","0","0","0.1","0","0.1","","","","","","","","","0.07","","0.3","0.005","","","","","","","","","","","","","","","","","","","","",""
"","Usage Cap","","","0","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Regen Modifier","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Flat Cost","","","0.0768","0.06","0.014","0.016","0.019","0.0333","0.0745","0.1","0.064","0.0768","0.125","0.06","0.1","0.001","","0.125","0.25","0.07625","0.149","0.07625","0.07367","0.07367","0.07625","0.149","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Status Effect Type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Arms Lock","","","","","","","","","","","Can Use Movable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Pass Out Downed","","","","","","Personal Inner Thought","","","","","","","","","","","","","","","","","","","","","","","","Frost Regen Delay","","","","","","","","","","","","","","","","","","","","","",""
"","Pass Out Unconscious","","","","","","Personal Inner Thought","","","","","","","","","","","","","","","","","","","","","","","","Min","","","","","","","","","","","","","","","","","","","","","",""
"","Hurt Locomotion","","","","","","","","","","","","","","","","","","","","","","","","","-20","","0","0.25","0.5","10","50","0.25","","","","","","","","","","","","","","","","","","","",""
"","Traversal Lock Prone","","","","","","Climb","","","","","Stand","","","","","","","Synced Revival","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Drunk Locomotion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Arms Lock Params","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Min
Weight","","","","","","Single Use
Abilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","","35","","5","10","Use Consumable","","","","","Equip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Use Consumable 2H","","","","","","","","","","","","","","","","","0.75","0.75","","0.75","","0.75","360","","0","","0.5","","","0.3","","0.1","","","","","","","","","","","","","",""
"","","","","","","","Eat And Drink","","","","","","","","","","","","","","","","","0.7","1","","0.7","","0.7","360","","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Eat And Drink 2H","","","","","","","","","","","","","","","","","0.7","1","","0.7","","0.7","360","","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Fire","","","","","","","","","","","","","","","","","0.5","1","","0.5","","0.5","360","","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Melee","","","","","","","","","","","","","","","","","0.7","1","","0.7","","0.7","360","","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Medical Melee","","","","","","","","","","","","","","","","","0.45","0.45","","0.5","","0.7","90","","0.96","","0","","","0","","0.6","","","","","","","","","","","","","",""
"","","","","","","","Place","","","","","","","","","","","","","","","","","0.7","1","","0.7","","0.7","360","","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Throw Overhand","","","","","","","","","","","","","","","","","0.7","1","","0.7","","0.7","360","","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Throw Underhand","","","","","","","","","","","","","","","","","0.5","1","","0.5","","0.5","360","","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Mantle","","","","","","","","","","","","","","","","","0.45","0.45","","0.5","","0.7","90","","0.96","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Vault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Action
Category","","","","","","Attack
Impulse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Lethal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Melee Jab","","","1","0.1","0.00371","8","0","","0","10.01","0.01","0.01","0","0","0","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Melee Hook","","","1","0.1","0.00368","16","0","","1","20.02","0.02","0.02","0","0","0","0","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Melee Armed","","","1","0.1","0.00371","12","0","","0","55","35","35","0","0","0","0","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Melee Upper Cut","","","1","0.1","0.00368","18","0","","1","40.03","0.03","0.03","0","0","0","0","40","","","","","","","","","0.007407407","","0.01111111","","","","","","","","","","","","","","","","","","","","","","","",""
"","Melee Haymaker","","","1","0.1","0.00368","20","0","","1","40.03","0.03","0.03","0","0","0","0","40","","","","","","","","","0.01111111","","0.01666667","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02962963","","0.04444445","","","","","","","","","","","","","","","","","","","","","","","",""
"","Take Down Config","","","","","","","","","","","","","","","","","","","","","","","","","","0.02962963","","0.04444445","","","","","","","","","","","","","","","","","","","","","","","",""
"Character","Is
Takedown
Immune","","","","","","","","","","","","","","","","","","","","","","","","","","0.02962963","","0.04444445","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Max Height
Diff","","","","","Is Take
Down Always
Lethal","","","","","","","Attacker
Skeleton
Filter","","","","","","","","0.01111111","","0.01666667","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01111111","","0.01666667","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Up","","","","","","","","","","","","","","","","","","","","0.01851852","","0.02777778","","","","","","","","","","","","","","","","","","","","","","","",""
"Human Player","0","","20","","70","2","0.45","0.6","","","","0","0","0","1.3","5","2","0.8","Any","1.7","1.4","1.4","1.4","","","","0.01111111","","0.01666667","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","130","2","1","1","","","","1","0","1","1.3","5","2","0.8","Vanduul","3","3","3","3","","","","0.01851852","","0.02777778","","","","","","","","","","","","","","","","","","","","","","","",""
"AI Boss","1","","20","","90","2","0.45","0.6","","","","0","0","0","1.3","5","2","0.8","Any","1.7","1.4","1.4","1.4","","","","0.01851852","","0.02777778","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","90","2","1","1","","","","1","1","0","1.3","5","2","0.8","Vanduul","3","3","3","3","","","","0.01111111","","0.01666667","","","","","","","","","","","","","","","","","","","","","","","",""
"AI","0","","20","","90","2","0.45","0.6","","","","0","0","0","1.3","5","2","0.8","Any","1.7","1.4","1.4","1.4","","","","0.01111111","","0.01666667","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","90","2","1","1","","","","1","1","0","1.3","5","2","0.8","Vanduul","3","3","3","3","","","","0.007407407","","0.01111111","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ledge Nearby Params","","","","","","","","","","","","","","","","","","Actor Restrain Config","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Max Distance","","","","","","","","","","","","","","","","","","Immune
To
Restrain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Idle","","","","","","Max","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","From Ground","","","","","Depth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1.13","2.1","","1","1.75","0.74","3.5","","2","60","0.25","0.25","0","1","-0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","0","90","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Transit°","","","","","","Min Warp
Depth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Low","","","","","Fast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Vault","0.74","1.91","0","2.51","3.1","0.34","0","0","0","0.85","0.9","1","1","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mantle","0.74","1.41","1.91","2.41","3.1","0","0","0","0","0.85","0.9","1","1","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Actor Ladder Config","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Version","View
Limit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Look Around Params",""
"","","","","","","","","","","","","","","","","","","","Ladder Animation Offset","","","","","","","","","","","","Quick
Settle
Speed
Scale","","","","","","","","","","","","Roll","","","","","Velocity","","","","Blend Back
To Climbing",""
"","Horizontal","","","","","","Run To
Sprint","","","","","Top Side","","","","","","","Stop Climb Distance From","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Forward","","","","",""
"","","","","","","","","","","","","Walk","","","","","","","Top","","","","","","","","","","","","","","","","","","","","","","","","Min","","","","","Min","","","","Lerp
Speed",""
"","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","90","","35","","3","3","3","2","0.5","1.1","0.8","1.15","1.5","1.5","0.1","1.11","1","1","1.5","1.75","1.75","0.5","1","2","5","","3.5","3.25","1.25","1.25","1.6","","24","0.1","","2","0.8","5.5","-180","180","-180","180","-45","45","0","90","45","1.5","2.5","1","2","45","10"
"","","","","","","","","","","","","","","","","","","","2","2.25","2.25","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","1.75","2","2","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","90","","90","","3","3","3","2","0.35","1","0.8","1.15","1.5","1.5","0.1","0.1","1","1","2","1.75","1.75","0.5","0.5","4","50","","3.5","3.25","1.25","1.25","1.6","","24","0.1","","2","5.5","50","-90","90","-90","90","-45","45","0","90","45","1.5","2.5","1","2","45","10"
"","","","","","","","","","","","","","","","","","","","2","2","2","0.5","0.5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","2","2","2","0.5","0.5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Buff
Type","","","","","","Buff
Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Aim Down
Sight","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boost
To
Sprint","","","","","","","","","",""
"","Hypertrophic","","","","","","0.95","","600","","3600","","","","","","","","","","","","","1.99","1.99","1.99","1.99","1.99","1.99","2.88","0","0","1.5","","","60","0.1","","","","","","","","","","","","","","","",""
"","Atrophic","","","","","","1.05","","300","","1800","","","","","","","","","","","","","2.6","0.8","0","1.4","3.4","4.65","6","0","0","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Energizing","","","","","","1.05","","600","","3600","","","","","","","","","","","","","1.9","0","0","0","0","0","0","0","0","0","","","0","0.1","","","0","0.07","","0","0","0","1","","","","","","",""
"","Fatiguing","","","","","","0.95","","300","","1800","","","","","","","","","","","","","1.6","0.9","1","1.6","0","2.3","0","1.125","1.125","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Cognitive Boosting","","","","","","0.75","","600","","3600","","","","","","","","","","","","","1.6","0.9","1","1.6","0","2.3","0","1.125","1.125","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Cognitive Impair","","","","","","1.25","","300","","1800","","","","","","","","","","","","","2.3","0.9","2.1","2.3","0","2.3","0","1.75","1.75","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Hypo Metabolic","","","","","","0.9","","600","","3600","","","","","","","","","","","","","1.85","0","0","0","0","0","0","0","0","1.5","","","60","0.1","","","","","","","","","","","","","","","",""
"","Hyper Metabolic","","","","","","1.1","","300","","1800","","","","","","","","","","","","","0.98","0","0","0","0","0","0","0.5","0","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Hydrating","","","","","","0.9","","600","","3600","","","","","","","","","","","","","0.25","0","0","0","0","0","0","0","0","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Dehydrating","","","","","","1.1","","300","","1800","","","","","","","","","","","","","0.98","0","0","0","0","0","0","0.5","0","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","","","","","","","0","","0","","-1","","","","","","","","","","","","","2.25","0.9","1.4","2.25","0","0","0","2.25","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","","","","","","","0","","0","","-1","","","","","","","","","","","","","3.4","0.9","1.4","3.25","3.4","5.58","7.2","2.25","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","","","","","","","0","","0","","-1","","","","","","","","","","","","","2.25","0.9","1.4","2.25","0","0","0","2.25","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","","","","","","","0","","0","","-1","","","","","","","","","","","","","1.6","0.8","1.5","1.6","0","0","0","1.6","1.6","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Weapon Charge Move Speed","","","","","","0.5","","1","","-1","","","","","","","","","","","","","1.6","0.8","1.5","1.6","0","0","0","1.6","1.6","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","G Force Pass Out","","","","","","0.5","","10","","10","","","","","","","","","","","","","3.6","0.8","1.5","1.6","1.8","1.9","2","2.25","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","2","0.9","1.4","2","0","0","0","2","2","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Overdose Revival BDL Decay","","","","","","3","","1","","-1","","","","","","","","","","","","","3","0.9","1.4","2","2.5","3","7.2","2.25","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","","","","","","","0","","0","","-1","","","","","","","","","","","","","2.8","1.08","1.68","2.8","0","0","7.2","2.25","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","","","","","","","0","","2","","-1","","","","","","","","","","","","","2.25","0.9","1.4","2.25","0","0","0","2.25","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Drug Duration Multiplier","","","","","","0.3333333","","1","","-1","","","","","","","","","","","","","3.4","0.9","1.4","2.25","3.4","5.58","7.2","2.25","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","3.4","0.9","1.4","2.65","0","0","6.85","2.7","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","3.4","0.9","1.4","2.25","3.4","5","6.85","2.7","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Stun Recovery Mask","","","","","","1","","1","","-1","","","","","","","","","","","","","2","0.9","1.4","2","0","0","0","2","2","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Impact Resistance Knockdown Mask","","","","","","1","","1","","-1","","","","","","","","","","","","","2","0.9","1.4","2","0","0","0","2","2","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Impact Resistance Stagger Mask","","","","","","1","","1","","-1","","","","","","","","","","","","","3","0.9","1.4","2","2.5","3","7.2","2.25","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Impact Resistance Twitch Mask","","","","","","1","","1","","-1","","","","","","","","","","","","","3.4","0.9","1.4","2.25","3.4","5.58","7.2","2.25","2.25","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Impact Resistance Flinch Mask","","","","","","1","","1","","-1","","","","","","","","","","","","","2.3","0","0","0","0","2.3","0","1.75","1.75","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Stamina Regen Mask","","","","","","1","","1","","-1","","","","","","","","","","","","","2","0","0","0","0","0","3","0","0","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","Stamina Pool Mask","","","","","","1","","1","","-1","","","","","","","","","","","","","1.8","0","0","0","0","0","3.5","0","0","0","","","0","0.1","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Move Speed Mask","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Weapon Sway Mask","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","ADS Enter Mask","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","0","","0","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1","","1","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","4","","5","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1000","","0.0833","","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
